City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
balakirevo,19.42,80.07,300.25,63,{'all': 0},1.21,IN,1604288215
balakirevo,-23.7,133.88,308.15,11,{'all': 0},5.1,AU,1604288216
balakirevo,-8.93,125.41,299.87,45,{'all': 96},1.78,TL,1604288216
balakirevo,-34.42,19.23,289.82,87,{'all': 97},2.24,ZA,1604288216
balakirevo,-54.8,-68.3,287.15,54,{'all': 40},3.1,AR,1604288217
balakirevo,30.37,-88.56,290.15,63,{'all': 1},3.6,US,1604288217
balakirevo,50.68,156.12,279.42,77,{'all': 32},6.02,RU,1604288217
balakirevo,42.6,-73.97,278.15,86,{'all': 91},0.89,US,1604287994
balakirevo,-24.87,113.63,296.15,49,{'all': 40},7.7,AU,1604288217
balakirevo,-19.55,169.27,303.15,66,{'all': 75},5.1,VU,1604288218
balakirevo,40.16,-8.33,291.48,93,{'all': 84},0.51,PT,1604288218
balakirevo,1.33,172.98,303.15,70,{'all': 75},4.6,KI,1604288218
balakirevo,-21.64,-41.05,292.28,80,{'all': 65},7.92,BR,1604287957
balakirevo,-46.19,168.86,287.04,60,{'all': 31},4.02,NZ,1604288176
balakirevo,18.47,-77.92,300.15,78,{'all': 75},5.7,JM,1604287922
balakirevo,62.46,-114.35,261.48,84,{'all': 75},5.1,CA,1604287996
balakirevo,-33.02,27.91,290.15,93,{'all': 20},3.6,ZA,1604288161
balakirevo,-0.6,73.08,300.59,77,{'all': 100},4.9,MV,1604288219
balakirevo,-33.93,18.42,289.82,82,{'all': 0},3.1,ZA,1604288122
balakirevo,52.27,79.17,276.79,74,{'all': 100},2.92,RU,1604288220
balakirevo,-53.15,-70.92,284.15,71,{'all': 0},2.6,CL,1604287950
balakirevo,21.32,-158.01,301.15,65,{'all': 75},2.6,US,1604288221
balakirevo,-30.18,-50.21,289.35,65,{'all': 8},2.41,BR,1604288222
balakirevo,-21.2,-175.2,299.15,83,{'all': 75},4.6,TO,1604288222
balakirevo,17.49,44.13,286.15,32,{'all': 0},0.15,SA,1604288222
balakirevo,3.17,-52.32,295.88,96,{'all': 14},0.81,GF,1604288222
balakirevo,8.41,20.65,294.72,90,{'all': 90},0.76,CF,1604288223
balakirevo,-42.88,147.33,300.93,38,{'all': 0},3.1,AU,1604288169
balakirevo,77.48,-69.36,257.05,74,{'all': 0},2.65,GL,1604288223
balakirevo,21.23,-86.73,299.96,82,{'all': 40},6.81,MX,1604288224
balakirevo,-0.41,-65.02,295.46,93,{'all': 47},0.89,BR,1604288224
balakirevo,48.98,2.03,291.48,77,{'all': 75},8.7,FR,1604288224
balakirevo,19.93,-105.25,297.54,92,{'all': 1},1.28,MX,1604288225
balakirevo,65.58,-171.0,267.3,89,{'all': 24},3.72,RU,1604288225
balakirevo,42.1,-79.24,274.82,97,{'all': 90},10.8,US,1604288128
balakirevo,12.48,-16.55,300.15,88,{'all': 0},2.1,SN,1604287926
balakirevo,39.05,-27.98,289.95,67,{'all': 20},7.47,PT,1604288226
balakirevo,-24.79,-50.01,283.26,89,{'all': 52},4.39,BR,1604288223
balakirevo,-33.87,121.9,294.15,77,{'all': 90},7.7,AU,1604288226
balakirevo,3.12,35.6,300.47,54,{'all': 95},6.47,KE,1604288226
balakirevo,41.37,-73.41,280.15,65,{'all': 75},4.1,US,1604288227
balakirevo,4.93,-52.33,297.15,100,{'all': 75},1.5,GF,1604288227
balakirevo,71.29,-156.79,270.15,68,{'all': 90},7.7,US,1604288227
balakirevo,32.67,-17.1,292.15,72,{'all': 40},1.0,PT,1604288227
balakirevo,-12.58,13.41,297.79,84,{'all': 17},1.4,AO,1604288227
balakirevo,50.7,-127.42,285.15,81,{'all': 90},3.94,CA,1604288228
balakirevo,63.75,-68.51,264.15,72,{'all': 90},4.1,CA,1604288228
balakirevo,-23.12,-134.97,296.5,85,{'all': 74},11.1,PF,1604288228
balakirevo,-46.6,168.33,287.04,60,{'all': 26},4.02,NZ,1604288180
balakirevo,-42.78,147.06,300.93,22,{'all': 91},1.79,AU,1604288229
balakirevo,16.27,-61.5,300.15,78,{'all': 75},3.6,GP,1604288229
balakirevo,-20.28,44.28,298.7,72,{'all': 45},2.12,MG,1604288229
balakirevo,-26.53,29.98,285.16,89,{'all': 80},2.45,ZA,1604288229
balakirevo,2.62,44.89,298.89,79,{'all': 82},2.37,SO,1604288230
balakirevo,-3.8,102.27,301.71,70,{'all': 100},0.87,ID,1604288230
balakirevo,20.89,-156.47,302.15,62,{'all': 40},4.1,US,1604287994
balakirevo,34.64,-120.46,290.93,77,{'all': 1},1.5,US,1604288231
balakirevo,-10.98,-66.1,296.24,57,{'all': 63},0.59,BO,1604288231
balakirevo,-16.78,47.65,295.08,55,{'all': 100},3.11,MG,1604288232
